Datum;Gewässer;Methode;Gattung;Art;Geschlecht;Anzahl;Fundort;Versetzen;Bearbeiter;Bemerkungen
05.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel aussen;mitgenommen;Ramseier;
05.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;4;Kessel aussen;mitgenommen;Ramseier;
05.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;18;Kessel aussen;mitgenommen;Ramseier;
05.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;18;Kessel aussen;mitgenommen;Ramseier;
05.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel innen;mitgenommen;Ramseier;
06.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;ADU;19;Kessel aussen;mitgenommen;Reissner;
06.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;ADU;1;Kessel aussen;mitgenommen;Reissner;
06.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;an Gewässer;Reissner;
07.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel aussen;mitgenommen;Ramseier;
07.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Ramseier;
07.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Ramseier;
08.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;ADU;5;Kessel aussen;mitgenommen;Reissner;
08.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner;
10.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel aussen;mitgenommen;Ramseier;
10.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Ramseier;
10.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Ramseier;
11.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;ADU;7;Kessel aussen;mitgenommen;Reissner;
11.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner;
12.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;ADU;76;Kessel aussen;mitgenommen;Reissner, Ramseier;
12.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;ADU;71;Kessel aussen;mitgenommen;Reissner, Ramseier;
12.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel aussen;mitgenommen;Reissner, Ramseier;
12.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;FEM;2;Kessel aussen;mitgenommen;Reissner, Ramseier;
12.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;5;Kessel aussen;mitgenommen;Reissner, Ramseier;
12.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner, Ramseier;
12.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Reissner, Ramseier;
13.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel aussen;mitgenommen;Ramseier;
13.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;2;Kessel aussen;mitgenommen;Ramseier;
13.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;8;Kessel aussen;mitgenommen;Ramseier;
13.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;9;Kessel aussen;mitgenommen;Ramseier;
13.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;16;Kessel aussen;mitgenommen;Ramseier;
13.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;19;Kessel aussen;mitgenommen;Ramseier;
13.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;22;Kessel aussen;mitgenommen;Ramseier;
14.03.2021;BL195s;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel aussen;mitgenommen;Reissner;Brett aussen
14.03.2021;BL195s;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel aussen;mitgenommen;Reissner;Brett aussen
14.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel aussen;mitgenommen;Reissner;
14.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel aussen;mitgenommen;Reissner;
14.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel aussen;mitgenommen;Reissner;
14.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel aussen;mitgenommen;Reissner;
14.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;5;Kessel aussen;mitgenommen;Reissner;
14.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;7;Kessel aussen;mitgenommen;Reissner;
14.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner;
14.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner;
15.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel aussen;mitgenommen;Ramseier;
15.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel aussen;mitgenommen;Ramseier;
15.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel aussen;mitgenommen;Ramseier;
15.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;3;Kessel aussen;mitgenommen;Ramseier;
15.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;5;Kessel aussen;mitgenommen;Ramseier;
15.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel aussen;NA;Ramseier;
15.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Ramseier;
16.03.2021;BL191;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel aussen;mitgenommen;Reissner, CS;
16.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel aussen;mitgenommen;Reissner, CS;
16.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel aussen;mitgenommen;Reissner, CS;
16.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;2;Kessel aussen;mitgenommen;Reissner, CS;
16.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner, CS;
16.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Reissner, CS;
16.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner, CS;
17.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel aussen;mitgenommen;Reissner;
17.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;2;Kessel aussen;mitgenommen;Reissner;
17.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;2;Kessel aussen;mitgenommen;Reissner;
17.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;2;Kessel aussen;mitgenommen;Reissner;
17.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner;
17.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner;
18.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel aussen;NA;Ramseier, Moser;
18.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Ramseier, Moser;
18.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Ramseier, Moser;
18.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel aussen;NA;Ramseier, Moser;
18.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Ramseier, Moser;
18.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Ramseier, Moser;
19.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;1;Kessel aussen;mitgenommen;Ramseier, Studer, Franke;
19.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel aussen;mitgenommen;Ramseier, Studer, Franke;
19.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel aussen;NA;Ramseier, Studer, Franke;
24.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel aussen;mitgenommen;Studer;
24.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Studer;
24.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Studer;
24.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel aussen;NA;Studer;
24.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Studer;
24.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Studer;
25.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel aussen;mitgenommen;Reissner;
25.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel aussen;mitgenommen;Reissner;
25.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;JUV;1;Kessel aussen;mitgenommen;Reissner;
25.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Reissner;
25.03.2021;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel aussen;NA;Reissner;
25.03.2021;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel aussen;NA;Reissner;
