Datum;Gewässer;Methode;Gattung;Art;Geschlecht;Anzahl;Fundort;Bearbeiter;Bemerkungen;;;;;;
02.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier;;;;;;;
02.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier;;;;;;;
02.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier;;;;;;;
02.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier;;;;;;;
02.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier;;;;;;;
02.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier;;;;;;;
03.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL196;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;MAL;1;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL197;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;MAL;4;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
03.02.2022;BL198;Zaun_Kessel;Triturus;carnifex;JUV;0;Kessel;Ramseier_Matthey_Ochmann_Speissegger_Aeschbacher;;;;;;;
04.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;MAL;0;Kessel;Moeller_Mangold_Hoesli;;;;;;;
04.02.2022;BL191;Zaun_Kessel;Triturus;carnifex;FEM;0;Kessel;Moeller_Mangold_Hoesli;;;;;;;
