current_date,self.name,density_koeff,migrant count each.isJuvenil,migrant count !each.isJuvenil,self.occupiedPonds_count,offspring count each.isEgg,offspring count !each.isEgg,juvenil count true,adult count true,adult count each.slipped,adult count !each.slipped,juvenil count each.slipped,juvenil count !each.slipped,self.catched_adult_tot,self.catched_juv_tot,self.min_age_adult,self.max_age_adult,self.mean_age_adult,self.median_age_adult,self.sd_age_adult,self.catched_adult_tot,self.catched_juv_tot,self.min_age_adult_catched,self.max_age_adult_catched,self.mean_age_adult_catched
date ('2022-01-01 00:00:00'),Simulation 0,0.02,17,0,11,0,0,265,196,13,183,86,179,714,0,355.0,3648.0,694.4330357142857,365.0,518.1377927747534,714,0,1.0,2919.0,218.1582633053218
date ('2022-01-01 00:00:00'),Simulation 1,0.02,17,0,10,0,0,344,135,6,129,141,203,435,0,361.0,2919.0,743.3101265822785,729.0,422.70202872392923,435,0,1.0,2919.0,258.01149425287355
date ('2022-01-01 00:00:00'),Simulation 2,0.02,16,0,9,0,0,1367,241,8,233,511,856,457,0,357.0,3287.0,699.9611650485436,729.0,439.50059748637096,457,0,1.0,3287.0,414.33041575492365
date ('2022-01-01 00:00:00'),Simulation 3,0.02,18,0,7,0,0,966,155,6,149,349,617,521,0,361.0,3651.0,668.7911547911548,729.0,433.7980917356697,521,0,1.0,2555.0,272.70249520153527
date ('2022-01-01 00:00:00'),Simulation 4,0.02,10,0,13,0,0,530,175,6,169,186,344,753,0,357.0,4368.0,693.1237623762377,366.0,527.1055651025547,753,0,1.0,3283.0,207.43027888446224
date ('2022-01-01 00:00:00'),Simulation 5,0.01,32,0,9,0,0,1583,246,9,237,595,988,971,0,361.0,5100.0,667.40625,711.0,483.1366311602053,971,0,1.0,5100.0,254.39340885684877
date ('2022-01-01 00:00:00'),Simulation 6,0.01,32,0,13,0,0,1160,433,13,420,454,706,948,0,361.0,3283.0,689.0871369294606,365.0,504.9067070891378,948,0,1.0,4383.0,264.5369198312237
date ('2022-01-01 00:00:00'),Simulation 7,0.01,25,0,11,0,0,1658,210,10,200,603,1055,841,0,357.0,5409.0,711.8895463510848,729.0,507.3730344470572,841,0,1.0,2555.0,235.1236623067777
date ('2022-01-01 00:00:00'),Simulation 8,0.01,39,0,15,0,0,1685,800,7,793,629,1056,852,0,353.0,5783.0,683.804776119403,729.0,503.47612145237514,852,0,1.0,3651.0,286.43779342723064
date ('2022-01-01 00:00:00'),Simulation 9,0.01,25,0,11,0,0,1203,204,10,194,456,747,719,0,361.0,3651.0,680.928,729.0,434.7727484744153,719,0,1.0,5840.0,276.991655076495
date ('2022-01-01 00:00:00'),Simulation 10,0.005,57,0,16,0,0,2812,1233,30,1203,1025,1787,1435,0,361.0,4015.0,795.6104094910065,729.0,465.8270857949877,1435,0,1.0,4015.0,209.62857142857104
date ('2022-01-01 00:00:00'),Simulation 11,0.005,37,0,10,0,0,2405,982,26,956,943,1462,1116,0,357.0,4747.0,624.6904647819837,361.0,467.445076854521,1116,0,1.0,3287.0,304.6971326164876
date ('2022-01-01 00:00:00'),Simulation 12,0.005,36,0,14,0,0,1188,614,19,595,416,772,1497,0,357.0,3651.0,625.4713199723566,368.0,369.9967262596227,1497,0,1.0,4373.0,227.30794923179684
date ('2022-01-01 00:00:00'),Simulation 13,0.005,26,0,12,0,0,1486,311,21,290,581,905,1340,0,357.0,3651.0,700.8075471698113,729.0,441.1291023889568,1340,0,1.0,3287.0,219.4529850746267
date ('2022-01-01 00:00:00'),Simulation 14,0.005,49,0,16,0,0,3292,1075,17,1058,1171,2121,1036,0,361.0,3638.0,816.4434900542495,729.0,500.4141331665312,1036,0,1.0,4315.0,323.476833976834
