current_date,probabilityCatch,sum((offspring where each.isEgg) collect each.count),sum((offspring where !each.isEgg) collect each.count),(juvenil count true) + (migrant count each.isJuvenil),(adult count true) + (migrant count !each.isJuvenil),adult count each.slipped,adult count !each.slipped,catched_adult_tot,catched_juv_tot,eggs_tot,larva_tot,juv_tot,adult_tot,migrantJuv_tot,migrantAdult_tot
date ('2000-01-02 00:00:00'),0.95,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2000-01-02 00:00:00'),0.95,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2000-01-02 00:00:00'),0.95,0,0,0,50,0,50,0,0,0,0,0,50,0,0
date ('2001-01-02 00:00:00'),0.95,0,0,60,21,0,21,0,0,300,150,60,50,25,0
date ('2001-01-02 00:00:00'),0.95,0,0,0,28,0,28,0,0,0,0,0,50,0,0
date ('2001-01-02 00:00:00'),0.95,0,0,60,28,0,28,0,0,300,150,60,50,24,0
date ('2002-01-02 00:00:00'),0.95,0,0,515,134,0,134,0,0,5700,2850,840,190,304,0
date ('2002-01-02 00:00:00'),0.95,0,0,233,70,0,70,0,0,2100,1050,383,108,151,0
date ('2002-01-02 00:00:00'),0.95,0,0,554,128,0,128,0,0,7200,3600,881,174,318,0
date ('2003-01-02 00:00:00'),0.95,0,0,0,187,0,187,0,0,52200,26100,840,427,304,0
date ('2003-01-02 00:00:00'),0.95,0,0,446,202,0,202,0,0,24600,12300,1321,409,519,0
date ('2003-01-02 00:00:00'),0.95,0,0,976,159,0,159,0,0,46200,23100,1868,390,693,0
date ('2004-01-02 00:00:00'),0.95,0,0,231,117,0,117,0,0,53700,26850,1131,448,426,0
date ('2004-01-02 00:00:00'),0.95,0,0,465,262,0,262,0,0,68100,34050,2081,706,812,0
date ('2004-01-02 00:00:00'),0.95,0,0,1251,282,0,282,0,0,100800,50400,3119,790,1147,0
date ('2005-01-02 00:00:00'),0.95,0,0,982,119,0,119,0,0,77100,38550,2176,557,818,0
date ('2005-01-02 00:00:00'),0.95,0,0,423,565,0,565,0,0,105900,52950,3974,1479,1514,0
date ('2005-01-02 00:00:00'),0.95,0,0,1295,532,0,532,0,0,190500,95250,4929,1528,1819,0
date ('2006-01-02 00:00:00'),0.95,0,0,359,271,0,271,0,0,130500,65250,2532,930,933,0
date ('2006-01-02 00:00:00'),0.95,0,0,767,389,0,389,0,0,189000,94500,4741,1638,1773,0
date ('2006-01-02 00:00:00'),0.95,0,0,1972,525,0,525,0,0,297300,148650,6899,2061,2568,0
date ('2007-01-02 00:00:00'),0.95,0,0,763,450,0,450,0,0,157800,78900,3908,1308,1445,0
date ('2007-01-02 00:00:00'),0.95,0,0,176,769,0,769,0,0,235800,117900,5949,2350,2195,0
date ('2007-01-02 00:00:00'),0.95,0,0,1329,676,0,676,0,0,437400,218700,8223,2871,3049,0
date ('2008-01-02 00:00:00'),0.95,0,0,274,601,0,601,0,0,237000,118500,4784,1823,1781,0
date ('2008-01-02 00:00:00'),0.95,0,0,1673,459,0,459,0,0,324900,162450,7731,2461,2839,0
date ('2008-01-02 00:00:00'),0.95,0,0,2053,742,0,742,0,0,533700,266850,10543,3542,3910,0
date ('2009-01-02 00:00:00'),0.95,0,0,120,906,0,906,0,0,293100,146550,6525,2574,2421,0
date ('2009-01-02 00:00:00'),0.95,0,0,63,1000,0,1000,0,0,442500,221250,8959,3622,3313,0
date ('2009-01-02 00:00:00'),0.95,0,0,1523,1065,0,1065,0,0,705600,352800,12848,4680,4746,0
date ('2010-01-02 00:00:00'),0.95,0,0,978,724,0,724,0,0,405000,202500,8152,2877,2976,0
date ('2010-01-02 00:00:00'),0.95,0,0,1158,1276,0,1276,0,0,525900,262950,12173,4493,4540,0
date ('2010-01-02 00:00:00'),0.95,0,0,548,1204,0,1204,0,0,869100,434550,14427,5692,5345,0
