fangdatum;waegedatum;weiher;geschlecht;gewicht
03.02.2022;03.02.2022;BL198;M;5.34
03.02.2022;03.02.2022;BL198;M;5.72
03.02.2022;03.02.2022;BL198;M;5.74
03.02.2022;03.02.2022;BL198;M;7.58
03.02.2022;03.02.2022;BL197;M;6.8
04.02.2022;04.02.2022;BL197;M;6.56
04.02.2022;04.02.2022;BL197;M;8.58
04.02.2022;04.02.2022;BL196;W;7.12
04.02.2022;04.02.2022;BL198;W;5.14
04.02.2022;04.02.2022;BL198;W;9.04
04.02.2022;04.02.2022;BL198;W;10.4
04.02.2022;04.02.2022;BL198;W;6.46
04.02.2022;04.02.2022;BL198;W;9.42
04.02.2022;04.02.2022;BL198;M;7.38
04.02.2022;04.02.2022;BL198;M;6.06
05.02.2022;05.02.2022;BL197;M;5.74
05.02.2022;05.02.2022;BL198;M;7.48
05.02.2022;05.02.2022;BL198;M;8.18
05.02.2022;05.02.2022;BL198;M;6.64
05.02.2022;05.02.2022;BL198;M;8.86
07.02.2022;07.02.2022;BL198;M;8.22
07.02.2022;07.02.2022;BL198;M;6.78
07.02.2022;07.02.2022;BL198;M;5.84
07.02.2022;07.02.2022;BL197;J;1.8
07.02.2022;07.02.2022;BL196;M;6.86
11.02.2022;11.02.2022;BL196_197_198;W;8.8
11.02.2022;11.02.2022;BL196_197_198;W;7.26
11.02.2022;11.02.2022;BL196_197_198;M;4.64
11.02.2022;11.02.2022;BL196_197_198;M;6.22
11.02.2022;11.02.2022;BL196_197_198;W;7.86
11.02.2022;11.02.2022;BL196_197_198;M;6.9
11.02.2022;11.02.2022;BL196_197_198;W;6.9
11.02.2022;11.02.2022;BL196_197_198;M;7.1
11.02.2022;11.02.2022;BL196_197_198;M;5.22
11.02.2022;11.02.2022;BL196_197_198;M;5.3
11.02.2022;11.02.2022;BL196_197_198;M;5.64
11.02.2022;11.02.2022;BL196_197_198;M;7.22
11.02.2022;11.02.2022;BL196_197_198;M;5.88
11.02.2022;11.02.2022;BL196_197_198;W;5.38
11.02.2022;11.02.2022;BL196_197_198;J;2.36
12.02.2022;12.02.2022;BL196;M;8.66
15.02.2022;15.02.2022;BL198;M;8.14
15.02.2022;15.02.2022;BL197;M;5.96
15.02.2022;15.02.2022;BL197;M;5.48
16.02.2022;16.02.2022;BL196;M;6.66
16.02.2022;16.02.2022;BL198;M;4.24
16.02.2022;16.02.2022;BL198;W;7.96
17.02.2022;17.02.2022;BL196;M;8.66
17.02.2022;17.02.2022;BL196;M;6.62
17.02.2022;17.02.2022;BL196;M;6.26
17.02.2022;17.02.2022;BL196;M;7.88
17.02.2022;17.02.2022;BL196;W;7.24
17.02.2022;17.02.2022;BL196;M;5.84
17.02.2022;17.02.2022;BL196;M;7.22
17.02.2022;17.02.2022;BL196;M;9.54
17.02.2022;17.02.2022;BL196;M;9.42
17.02.2022;17.02.2022;BL196;M;5.98
17.02.2022;17.02.2022;BL196;M;7.54
17.02.2022;17.02.2022;BL196;M;5.9
17.02.2022;17.02.2022;BL196;M;8.58
17.02.2022;17.02.2022;BL196;M;7.7
17.02.2022;17.02.2022;BL196;M;8.54
17.02.2022;17.02.2022;BL196;M;8.32
17.02.2022;17.02.2022;BL196;M;9.76
17.02.2022;17.02.2022;BL196;M;9.42
17.02.2022;17.02.2022;BL196;M;6.66
17.02.2022;17.02.2022;BL196;W;8.1
17.02.2022;17.02.2022;BL198;M;6.48
17.02.2022;17.02.2022;BL198;M;6.42
17.02.2022;17.02.2022;BL198;W;7.88
17.02.2022;17.02.2022;BL198;W;6.82
17.02.2022;17.02.2022;BL198;M;6.86
17.02.2022;17.02.2022;BL198;W;7.72
17.02.2022;17.02.2022;BL198;M;8.62
17.02.2022;17.02.2022;BL198;W;5.64
17.02.2022;17.02.2022;BL198;W;6.54
17.02.2022;17.02.2022;BL198;M;6.12
17.02.2022;17.02.2022;BL198;W;6.38
17.02.2022;17.02.2022;BL198;M;5.38
17.02.2022;17.02.2022;BL198;W;6.6
17.02.2022;17.02.2022;BL198;M;6.94
17.02.2022;17.02.2022;BL198;M;6.46
17.02.2022;17.02.2022;BL198;M;7.6
17.02.2022;17.02.2022;BL198;M;6.88
17.02.2022;17.02.2022;BL198;M;6.4
17.02.2022;17.02.2022;BL198;M;6.14
17.02.2022;17.02.2022;BL198;M;4.56
17.02.2022;17.02.2022;BL198;M;7.02
17.02.2022;17.02.2022;BL198;M;7
17.02.2022;17.02.2022;BL198;M;8.36
17.02.2022;17.02.2022;BL198;M;6.88
17.02.2022;17.02.2022;BL198;M;6.14
17.02.2022;17.02.2022;BL198;W;8.24
17.02.2022;17.02.2022;BL198;M;5.9
17.02.2022;17.02.2022;BL198;M;6.68
17.02.2022;17.02.2022;BL198;M;6.78
17.02.2022;17.02.2022;BL198;M;8
17.02.2022;17.02.2022;BL198;M;5.64
17.02.2022;17.02.2022;BL198;M;7.08
17.02.2022;17.02.2022;BL198;J;1.98
17.02.2022;17.02.2022;BL198;M;6.34
17.02.2022;17.02.2022;BL198;W;9.08
17.02.2022;17.02.2022;BL198;M;5.34
17.02.2022;17.02.2022;BL198;M;6.1
17.02.2022;17.02.2022;BL198;M;8.88
17.02.2022;17.02.2022;BL198;M;7.62
17.02.2022;17.02.2022;BL198;M;6.44
17.02.2022;17.02.2022;BL198;M;7
17.02.2022;17.02.2022;BL198;M;5.82
17.02.2022;17.02.2022;BL198;W;12.56
17.02.2022;17.02.2022;BL198;M;7.92
17.02.2022;17.02.2022;BL198;M;6.68
17.02.2022;17.02.2022;BL198;M;6.3
17.02.2022;17.02.2022;BL198;M;5.62
17.02.2022;17.02.2022;BL198;W;9.24
17.02.2022;17.02.2022;BL198;M;5.74
17.02.2022;17.02.2022;BL198;M;7.3
17.02.2022;17.02.2022;BL198;M;6.58
17.02.2022;17.02.2022;BL198;W;8.2
17.02.2022;17.02.2022;BL198;M;7.32
17.02.2022;17.02.2022;BL198;W;5.8
17.02.2022;17.02.2022;BL198;M;6.68
17.02.2022;17.02.2022;BL198;M;8.28
17.02.2022;17.02.2022;BL198;M;7.12
17.02.2022;17.02.2022;BL196;M;7.12
17.02.2022;17.02.2022;BL196;W;9.48
17.02.2022;17.02.2022;BL196;M;7.52
17.02.2022;17.02.2022;BL196;M;7.96
17.02.2022;17.02.2022;BL196;M;5.62
